,matches,wins,draws,losses,win_rate,draw_rate,goal_difference,avg_goals_scored,avg_goals_conceded
Morocco,71,52,13,6,0.7323943661971831,0.18309859154929578,102,1.9014084507042253,0.4647887323943662
Algeria,69,46,16,7,0.6666666666666666,0.2318840579710145,103,2.2753623188405796,0.782608695652174
Senegal,68,42,19,7,0.6176470588235294,0.27941176470588236,78,1.8235294117647058,0.6764705882352942
Ivory Coast,56,34,12,10,0.6071428571428571,0.21428571428571427,58,1.75,0.7142857142857143
Egypt,64,37,18,9,0.578125,0.28125,58,1.59375,0.6875
Tunisia,70,40,15,15,0.5714285714285714,0.21428571428571427,58,1.4428571428571428,0.6142857142857143
Mali,50,28,13,9,0.56,0.26,51,1.54,0.52
Cape Verde,54,27,13,14,0.5,0.24074074074074073,21,1.2962962962962963,0.9074074074074074
Nigeria,57,28,16,13,0.49122807017543857,0.2807017543859649,37,1.543859649122807,0.8947368421052632
South Africa,64,31,26,7,0.484375,0.40625,43,1.40625,0.734375
Burkina Faso,62,30,17,15,0.4838709677419355,0.27419354838709675,32,1.532258064516129,1.0161290322580645
DR Congo,52,24,15,13,0.46153846153846156,0.28846153846153844,24,1.1730769230769231,0.7115384615384616
Equatorial Guinea,48,20,14,14,0.4166666666666667,0.2916666666666667,3,1.0625,1.0
Guinea,54,21,14,19,0.3888888888888889,0.25925925925925924,8,1.2407407407407407,1.0925925925925926
Zambia,54,21,10,23,0.3888888888888889,0.18518518518518517,-3,1.3703703703703705,1.4259259259259258
Angola,52,20,19,13,0.38461538461538464,0.36538461538461536,15,1.1730769230769231,0.8846153846153846
Uganda,48,17,10,21,0.3541666666666667,0.20833333333333334,-10,0.9791666666666666,1.1875
Comoros,54,19,9,26,0.35185185185185186,0.16666666666666666,-9,1.3148148148148149,1.4814814814814814
Botswana,39,13,6,20,0.3333333333333333,0.15384615384615385,-14,0.8974358974358975,1.2564102564102564
Benin,40,12,10,18,0.3,0.25,-8,1.075,1.275
Namibia,44,12,13,19,0.2727272727272727,0.29545454545454547,-15,0.8863636363636364,1.2272727272727273
Guinea-Bissau,42,11,11,20,0.2619047619047619,0.2619047619047619,-14,1.0,1.3333333333333333
Tanzania,46,12,12,22,0.2608695652173913,0.2608695652173913,-19,0.6956521739130435,1.108695652173913
Sudan,54,13,18,23,0.24074074074074073,0.3333333333333333,-23,0.7407407407407407,1.1666666666666667
Zimbabwe,33,5,12,16,0.15151515151515152,0.36363636363636365,-17,0.6666666666666666,1.1818181818181819
